tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,month
571,52:05.0,01:36.5,3637,Fulton St & Waverly Ave,40.68323865,-73.96599591,314,Cadman Plaza West & Montague St,40.69383,-73.990539,30493,Subscriber,1990,Jan-19
175,52:04.1,54:59.5,3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,30407,Subscriber,1975,Jan-19
820,52:08.8,05:49.7,498,Broadway & W 32 St,40.74854862,-73.98808416,223,W 13 St & 7 Ave,40.73781509,-73.99994661,19543,Subscriber,1953,Jan-19
1242,52:05.6,12:48.5,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,496,E 16 St & 5 Ave,40.73726186,-73.99238967,29694,Subscriber,1953,Jan-19
827,52:07.9,05:55.2,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,3284,E 88 St & Park Ave,40.7814107,-73.95595908,35084,Subscriber,1957,Jan-19
2941,52:07.1,41:08.9,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3292,5 Ave & E 93 St,40.7857851,-73.957481,15587,Customer,1989,Jan-19
437,52:10.7,59:28.3,2003,1 Ave & E 18 St,40.73381219,-73.98054421,394,E 9 St & Avenue C,40.72521311,-73.97768752,27476,Subscriber,1994,Jan-19
1586,52:10.5,18:36.5,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,405,Washington St & Gansevoort St,40.739323,-74.008119,35562,Subscriber,1977,Jan-19
1870,52:11.1,23:21.2,313,Washington Ave & Park Ave,40.69610226,-73.96751037,387,Centre St & Chambers St,40.71273266,-74.0046073,28574,Customer,1969,Jan-19
985,52:13.7,08:38.7,3140,1 Ave & E 78 St,40.77140426,-73.9535166,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,19843,Subscriber,1970,Jan-19
447,52:15.5,59:43.3,3255,8 Ave & W 31 St,40.75058535,-73.99468482,3255,8 Ave & W 31 St,40.75058535,-73.99468482,35327,Subscriber,1990,Jan-19
787,52:19.2,05:26.4,402,Broadway & E 22 St,40.7403432,-73.98955109,302,Avenue D & E 3 St,40.72082834,-73.97793172,33290,Subscriber,1987,Jan-19
435,52:16.9,59:32.5,3595,35 St & Broadway,40.760339,-73.9222427,3513,21 St & Hoyt Ave S,40.774645,-73.923706,30689,Subscriber,1979,Jan-19
1874,52:16.6,23:31.5,313,Washington Ave & Park Ave,40.69610226,-73.96751037,387,Centre St & Chambers St,40.71273266,-74.0046073,27687,Customer,1969,Jan-19
389,52:20.1,58:49.1,3092,Berry St & N 8 St,40.7190095,-73.95852515,3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394,26611,Subscriber,1963,Jan-19
142,52:26.5,54:48.8,143,Clinton St & Joralemon St,40.69239502,-73.99337909,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,35090,Subscriber,1983,Jan-19
791,52:22.4,05:33.9,3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045,3328,W 100 St & Manhattan Ave,40.795,-73.9645,16601,Subscriber,1990,Jan-19
1555,52:35.8,18:31.2,311,Norfolk St & Broome St,40.7172274,-73.98802084,315,South St & Gouverneur Ln,40.70355377,-74.00670227,30099,Subscriber,1996,Jan-19
838,52:26.4,06:25.3,441,E 52 St & 2 Ave,40.756014,-73.967416,3288,E 88 St & 1 Ave,40.778301,-73.9488134,14978,Subscriber,1996,Jan-19
1676,52:26.9,20:23.7,167,E 39 St & 3 Ave,40.7489006,-73.97604882,3082,Hope St & Union Ave,40.71167351,-73.95141312,28658,Subscriber,1993,Jan-19
506,52:26.6,00:52.8,545,E 23 St & 1 Ave,40.736502,-73.97809472,402,Broadway & E 22 St,40.7403432,-73.98955109,31088,Subscriber,1973,Jan-19
154,52:27.4,55:01.9,3628,Lenox Ave & W 117 St,40.8025566,-73.9490782,3534,Frederick Douglass Blvd & W 117 St,40.805159,-73.954692,34143,Subscriber,1981,Jan-19
135,52:27.5,54:43.0,3417,Baltic St & 5 Ave,40.6795766,-73.97854971,3413,Wyckoff St & 3 Ave,40.6827549,-73.98258555,19954,Subscriber,1981,Jan-19
310,52:27.8,57:38.5,3235,E 41 St & Madison Ave,40.75216528,-73.97992194,164,E 47 St & 2 Ave,40.75323098,-73.97032517,34359,Subscriber,1957,Jan-19
365,52:28.9,58:34.0,3126,44 Dr & Jackson Ave,40.74718234,-73.9432635,3124,46 Ave & 5 St,40.74731,-73.95451,33405,Subscriber,1985,Jan-19
774,52:30.3,05:25.0,3292,5 Ave & E 93 St,40.7857851,-73.957481,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,14550,Customer,1969,Jan-19
879,52:30.2,07:09.6,167,E 39 St & 3 Ave,40.7489006,-73.97604882,3131,E 68 St & 3 Ave,40.7671284,-73.96224618,19454,Subscriber,1958,Jan-19
1330,52:30.7,14:41.2,525,W 34 St & 11 Ave,40.75594159,-74.0021163,426,West St & Chambers St,40.71754834,-74.01322069,17620,Customer,1969,Jan-19
